SITE.ID	sed	temp
WORP99-0659-1-1	1.276341 	14.1
WORP99-0661-1-1	1.468658 	10.6
WORP99-0662-1-1	1.961308 	10  
WORP99-0665-1-1	1.535716 	 9  
WORP99-0667-1-1	0.8269998	 9.8
WORP99-0677-1-1	1.359926 	15  
WORP99-0685-1-1	1.570432 	20.9
WORP99-0691-1-1	0.6821021	15.1
WORP99-0692-1-1	1.388623 	 9.4
WORP99-0698-1-1	1.539871 	 9.2
WORP99-0701-1-1	1.113943 	12.4
WORP99-0704-1-1	1.441957 	11.8
WORP99-0710-1-1	0.8642612	 9.8
WORP99-0721-1-1	1.65137  	 7.6
WORP99-0724-1-1	1.933294 	16.3
WORP99-0728-1-1	0.6821021	15.1
WORP99-0734-1-1	1.302063 	 9.4
WORP99-0735-1-1	0.8846066	17  
WORP99-0739-1-1	1.556303 	12.9
WORP99-0740-1-1	1.322219 	21  
WORP99-0745-1-1	1.655434 	20.7
WORP99-0762-1-1	1.302063 	20.9
WORP99-0768-1-1	1.441957 	22.2
WORP99-0768-2-1	1.377618 	11.9
WORP99-0768-2-2	1.359926 	11.9
WORP99-0769-1-1	1.510928 	14.7
WORP99-0775-1-1	1.570432 	12.4
WORP99-0780-1-1	0.4631105	14.1
WORP99-0787-1-1	1.592124 	 9.8
WORP99-0792-1-1	1.965806 	14.1
WORP99-0794-1-1	1.456655 	18.2
WORP99-0800-1-1	1.592124 	11.1
WORP99-0803-1-1	1.832509 	15.7
WORP99-0806-1-1	0.8098657	10.5
WORP99-0806-2-1	0.6188735	15.7
WORP99-0815-2-1	1.727386 	17.5
WORP99-0819-2-1	1.184286 	11.6
WORP99-0821-2-1	0.8098657	 9.8
WORP99-0823-2-1	1.622757 	16.4
WORP99-0825-2-1	1.156347 	14.8
WORP99-0830-2-1	1.345449 	11.9
WORP99-0841-2-1	0.9354593	24.8
WORP99-0842-2-1	1.602577 	20.8
WORP99-0848-2-1	1.280925 	12.3
WORP99-0851-2-1	1.146128 	 4.5
WORP99-0852-2-1	0.9884637	14.9
WORP99-0854-2-1	1.235288 	17.3
WORP99-0856-2-1	1.094421 	19.8
WORP99-0860-2-1	1.426744 	13.6
WORP99-0864-2-1	1.156347 	16.4
WORP99-0866-2-1	1.126487 	14.2
WORP99-0871-2-1	1.394618 	15.1
WORP99-0877-2-1	1.184286 	 9.8
WORP99-0879-2-1	0.2905646	 9  
WORP99-0883-2-1	1.592124 	15.2
WORP99-0885-2-1	1.592124 	18  
WORP99-0888-2-1	0.4631105	13.2
WORP99-0890-2-1	0.7605661	 7.3
WORP99-0908-2-1	1.441957 	14  
WORP99-0912-2-1	1.762244 	13.8
WORP99-0917-2-1	0.8846066	13.5
WORP99-0923-2-1	1.559165 	18.9
WORP99-0924-2-1	1.377618 	19.4
WORP99-0928-2-1	1.456655 	11.9
WORP99-0929-2-1	1.970258 	18  
WORP99-0931-2-1	1.210535 	19.7
WORP99-0935-2-1	0.5862657	15.5
WORP99-0947-2-1	1.547599 	12.7
WORP99-0948-2-1	0.60206  	21.4
WORP99-0982-2-1	1.414973 	14.4
WSDP02-R004-2-1	1.523499 	20.4
WSDP02-R006-2-1	1.817974 	24.2
WSDP02-R011-2-1	1.913562 	18.2
WSDP02-R013-2-1	1.470872 	13.2
WSDP02-R014-2-1	1.836445 	23.2
WSDP02-R015-2-1	1.660504 	23  
WSDP99-0502-0-1	1.606629 	15.3
WSDP99-0523-0-1	1.484639 	27  
WSDP99-0526-2-1	1.699304 	28.4
WSDP99-0533-0-1	1.961308 	19.1
WSDP99-0540-0-1	1.622757 	23  
WSDP99-0561-0-1	1.65137  	15  
WSDP99-0579-1-1	1.965806 	20.2
WSDP99-0580-1-1	1.126487 	15  
WSDP99-0585-1-1	0.7605661	16  
WSDP99-0586-1-1	1.731465 	22  
WSDP99-0587-1-1	1.89815  	17  
WSDP99-0596-1-1	1.824219 	29  
WSDP99-0599-2-1	1.798684 	24.7
WSDP99-0602-1-1	1.544068 	21.5
WSDP99-0605-1-1	1.875284 	25.5
WSDP99-0657-2-1	1.470872 	19.8
WSDP99-0664-2-1	1.956763 	25.4
WSDP99-0665-2-1	1.739146 	29  
WSDP99-0667-2-1	1.547599 	20.5
WSDP99-0670-2-1	1.98746  	15.4
WSDP99-0672-2-1	1.602577 	18.9
WSDP99-0681-2-1	1.846527 	17.4
WSDP99-0695-2-1	1.986772 	30.1
WSDP99-0696-2-1	1.830375 	24.5
WSDP99-0697-2-1	1.928445 	22.8
WUTP02-R001-2-1	0.845098 	14  
WUTP02-R002-2-1	0.9809768	 9.7
WUTP02-R003-2-1	1.65137  	 4.3
WUTP02-R004-2-1	1.280925 	 9.3
WUTP02-R005-2-1	0.9809768	 4.3
WUTP02-R006-2-1	0.9354593	 4.8
WUTP02-R008-2-1	1.184286 	 9  
WUTP02-R010-2-1	1.711606 	 9.6
WUTP99-0501-0-1	0.9809768	11.1
WUTP99-0505-0-1	1.523499 	16.3
WUTP99-0507-0-1	0.7605661	16.6
WUTP99-0512-0-1	1.394618 	14.6
WUTP99-0512-0-2	1.441957 	15.9
WUTP99-0512-1-1	1.394618 	13.2
WUTP99-0512-1-2	1.377618 	13.3
WUTP99-0514-0-1	0.6821021	13.4
WUTP99-0517-0-1	1.686806 	14.7
WUTP99-0521-0-1	0.2905646	 9.5
WUTP99-0542-0-1	0.5862657	15.2
WUTP99-0586-1-1	0.8269998	14.3
WUTP99-0590-1-1	1.302063 	11  
WUTP99-0591-1-1	1.928445 	 7.7
WUTP99-0597-1-1	1.750031 	15.7
WUTP99-0598-1-1	0.7605661	11.9
WUTP99-0598-1-2	0.2905646	12.8
WUTP99-0598-2-1	0.7605661	 6.4
WUTP99-0598-2-2	0        	 6.4
WUTP99-0602-1-1	0.6821021	 9  
WUTP99-0604-1-1	0.845098 	13.1
WUTP99-0605-1-1	1.184286 	10.4
WUTP99-0629-1-1	1.359926 	17.3
WUTP99-0665-2-1	1.441957 	12  
WUTP99-0670-2-1	1.258706 	13.1
WUTP99-0693-2-1	1.438868 	10.3
WUTP99-0693-2-2	1.165433 	10.2
WUTP99-0694-2-1	0.9809768	10.2
WUTP99-0695-2-1	1.45001  	12.5
WUTP99-0698-2-1	1.547599 	12.2
WWAP99-0501-0-1	1.581413 	 8.5
WWAP99-0502-0-1	0.312311 	 9.8
WWAP99-0504-0-1	1.445963 	14.4
WWAP99-0507-0-1	1.510928 	 6.5
WWAP99-0509-0-1	0.7640036	11.3
WWAP99-0512-0-1	0.4631105	 9.5
WWAP99-0513-0-1	1.918579 	 7.4
WWAP99-0515-0-1	0.90309  	15.4
WWAP99-0516-0-1	1.778496 	 5.7
WWAP99-0516-0-2	1.798684 	 2.6
WWAP99-0516-1-1	1.731465 	 8.6
WWAP99-0516-1-2	1.535716 	 5.6
WWAP99-0517-0-1	1.887564 	13.1
WWAP99-0520-0-1	0        	 9.4
WWAP99-0521-0-1	1.719568 	15.2
WWAP99-0522-0-1	1.510928 	 5.2
WWAP99-0524-1-1	1.456655 	10.7
WWAP99-0526-1-1	0.6853972	10.8
WWAP99-0527-1-1	0.8846066	10.6
WWAP99-0529-1-1	0.4631105	 9.9
WWAP99-0531-2-1	1.650793 	 8.7
WWAP99-0532-2-1	0.7605661	 8.8
WWAP99-0534-2-1	1.022173 	 9.6
WWAP99-0535-2-1	1.711606 	10.8
WWAP99-0595-1-1	0.5713912	11  
WWAP99-0598-1-1	1.322219 	11  
WWAP99-0598-1-2	1.497982 	 8.8
WWAP99-0598-2-1	1.377618 	12.7
WWAP99-0598-2-2	1.410978 	 5.6
WWAP99-0602-1-1	0.8846066	 7.6
WWAP99-0604-1-1	1.184286 	13.2
WWAP99-0608-1-1	0.4631105	10.1
WWAP99-0611-1-1	1.510928 	 5.5
WWAP99-0612-1-1	1.059798 	 9.1
WWAP99-0614-1-1	1.723645 	12.6
WWAP99-0618-1-1	0.8269998	15.2
WWAP99-0622-1-1	0.8846066	 7.4
WWAP99-0630-1-1	1.235288 	10.2
WWAP99-0632-1-1	1.235288 	 8.5
WWAP99-0633-1-1	0.9809768	 9.1
WWAP99-0635-1-1	1.094421 	 8.8
WWAP99-0636-1-1	1.094421 	18.1
WWAP99-0637-1-1	0.6821021	11.9
WWAP99-0639-1-1	1.612784 	14.8
WWAP99-0640-1-1	0.2905646	 7.7
WWAP99-0641-1-1	0.8305393	 6.9
WWAP99-0642-1-1	1.094421 	 4.5
WWAP99-0676-2-1	0.5862657	12.3
WWAP99-0677-2-1	1.059798 	 8.2
WWAP99-0682-2-1	0.9809768	 8  
WWAP99-0688-2-1	0.8846066	12.3
WWAP99-0689-2-1	1.184286 	 9.2
WWAP99-0692-2-1	1.184286 	14.8
WWAP99-0697-2-1	0.8846066	 7.7
WWAP99-0700-2-1	1.059798 	14.5
WWAP99-0701-2-1	0.2905646	 7.1
WWAP99-0702-2-1	1.514956 	10.9
WWAP99-0704-2-1	0.8269998	 6.2
WWAP99-0706-2-1	1.622757 	 8.4
WWAP99-0712-2-1	0        	11.4
WWAP99-0713-2-1	1.184286 	 8.9
WWAP99-0714-2-1	1.447158 	11.9
WWAP99-0716-2-1	1.029738 	14.5
WWAP99-0719-2-1	1.059798 	 8.5
WWAP99-0720-2-1	1.824219 	17.5
WWAP99-0721-2-1	1.497982 	 6.4
WWAP99-0730-2-1	1.156347 	14.1
WWAP99-0732-2-1	1.063593 	12.6
WWAP99-0733-2-1	1.022173 	10  
WWAP99-0735-2-1	1.184286 	 7  
WWAP99-0736-2-1	0.7605661	10.5
WWYP99-0501-0-1	0.6331354	11.9
WWYP99-0504-0-1	1.811639 	12  
WWYP99-0506-0-1	1.066947 	14  
WWYP99-0508-0-1	1.441957 	17.4
WWYP99-0511-0-1	1.126487 	 4.3
WWYP99-0513-0-2	0.8016323	12.7
WWYP99-0515-0-1	1.622757 	12  
WWYP99-0516-0-1	1.974665 	12  
WWYP99-0524-0-1	1.842431 	19.1
WWYP99-0525-0-1	1.85991  	18.6
WWYP99-0535-0-1	1.771552 	 3.4
WWYP99-0538-0-1	0.9391351	 5.1
WWYP99-0540-0-1	1.865583 	 5.2
WWYP99-0587-1-1	1.235288 	14  
WWYP99-0587-2-1	1.470872 	14.2
WWYP99-0587-2-2	1.484639 	12.3
WWYP99-0589-1-1	1.410978 	13.5
WWYP99-0591-1-1	0.589348 	11.4
WWYP99-0599-1-1	0.4631105	13.5
WWYP99-0600-1-1	1.792058 	11.3
WWYP99-0605-1-1	1.359926 	13.2
WWYP99-0606-1-1	1.742613 	16.6
WWYP99-0610-1-1	1.612784 	13.4
WWYP99-0614-1-1	1.547599 	12.4
WWYP99-0671-2-1	1.92354  	21.8
